date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:31	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Apr%202022%2013:56:31%20GMT	http://docs.0x.org/introduction/welcome	C:/HttpTrack/0xOrc/docs.0x.org/introduction/welcome.0.delayed	(from )
06:56:32	202695/202695	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Apr%202022%2013:56:31%20GMT	https://docs.0x.org/introduction/welcome	C:/HttpTrack/0xOrc/docs.0x.org/introduction/welcome.html	(from )
06:56:32	43/43	---M-Z	200	added ('OK')	text/plain	etag:W/%2217-ZZkCVrbr4BSdjt/K43J0tq8+Qq4%22	https://docs.0x.org/robots.txt		(from )
06:56:32	106140/106140	---M--	200	added ('OK')	font/woff2	etag:%22444a7284663a3bc886683eb81450b294%22	https://app.gitbook.com/public/fonts/Inter/Inter-Bold.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Bold3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:33	111808/111808	---M--	200	added ('OK')	font/woff2	etag:%2296284e2a02af46d9ffa2d189eaad5483%22	https://app.gitbook.com/public/fonts/Inter/Inter-BoldItalic.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-BoldItalic3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:33	106108/106108	---M--	200	added ('OK')	font/woff2	etag:%2237da9eecf61ebced804b266b14eef98e%22	https://app.gitbook.com/public/fonts/Inter/Inter-ExtraBold.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-ExtraBold3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:33	111708/111708	---M--	200	added ('OK')	font/woff2	etag:%22fcc7d60ef790b43eb520fdc5c7348799%22	https://app.gitbook.com/public/fonts/Inter/Inter-ExtraBoldItalic.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-ExtraBoldItalic3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:33	105924/105924	---M--	200	added ('OK')	font/woff2	etag:%2275db5319e7e87c587019a5df08d7272c%22	https://app.gitbook.com/public/fonts/Inter/Inter-Medium.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Medium3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:33	112184/112184	---M--	200	added ('OK')	font/woff2	etag:%22f1e11535e56c67698e263673f625103e%22	https://app.gitbook.com/public/fonts/Inter/Inter-MediumItalic.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-MediumItalic3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:34	98868/98868	---M--	200	added ('OK')	font/woff2	etag:%22dc131113894217b5031000575d9de002%22	https://app.gitbook.com/public/fonts/Inter/Inter-Regular.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Regular3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:34	106876/106876	---M--	200	added ('OK')	font/woff2	etag:%22fd26ff23f831db9ae85a805386529385%22	https://app.gitbook.com/public/fonts/Inter/Inter-Italic.woff2?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Italic3535.woff2	(from https://docs.0x.org/introduction/welcome)
06:56:34	143208/143208	---M--	200	added ('OK')	font/woff	etag:%2299a0d9a7e4c99c17bfdd94a22a5cf94e%22	https://app.gitbook.com/public/fonts/Inter/Inter-Bold.woff?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Bold3535.woff	(from https://docs.0x.org/introduction/welcome)
06:56:34	151052/151052	---M--	200	added ('OK')	font/woff	etag:%223aa31f7356ea9db132b3b2bd8a65df44%22	https://app.gitbook.com/public/fonts/Inter/Inter-BoldItalic.woff?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-BoldItalic3535.woff	(from https://docs.0x.org/introduction/welcome)
06:56:35	142920/142920	---M--	200	added ('OK')	font/woff	etag:%22ab70688a1c9d6525584b123575f6c0a5%22	https://app.gitbook.com/public/fonts/Inter/Inter-ExtraBold.woff?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-ExtraBold3535.woff	(from https://docs.0x.org/introduction/welcome)
06:56:35	150628/150628	---M--	200	added ('OK')	font/woff	etag:%22728a4c7df3ed1b2bc077010063f9ef1c%22	https://app.gitbook.com/public/fonts/Inter/Inter-ExtraBoldItalic.woff?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-ExtraBoldItalic3535.woff	(from https://docs.0x.org/introduction/welcome)
06:56:35	142552/142552	---M--	200	added ('OK')	font/woff	etag:%22c0638bea87a05fdfa2bb3bba2efe54e4%22	https://app.gitbook.com/public/fonts/Inter/Inter-Medium.woff?v=3.19	C:/HttpTrack/0xOrc/app.gitbook.com/public/fonts/Inter/Inter-Medium3535.woff	(from https://docs.0x.org/introduction/welcome)
